id,name
0,remove the necklace
1,replace the blue cord with a white cord
2,replace the turtle with a fish
3,remove the words from the book
4,remove the earrings
5,remove people
6,remove the words from the black book
7,remove the boat from the calm lake
8,replace a woman's black and white heels with black heels
9,change the color in the upper right corner to brown
10,remove what's at the bottom of the sky
11,remove the words on the white short sleeve
12,add one more person
13,remove the dog
14,remove a rock right in the middle of where the water meets the shore
15,replace the green headdress with a pink flower
16,remove the bird
17,remove birds from branches
18,turn the rabbit's pink ears into white ears
19,remove the top book
20,replace the grassless land on the right with a road
21,remove the flowerpot to the left of the door
22,remove the gold decoration from the white cream
23,replace the gray glacier underneath with a blue glacier
24,replace the many leaves in the lower right corner with a red maple leaf
25,remove part of the top of the middle hill
26,remove the words on the blue box
27,replace the picture on the left with a rabbit
28,remove the people from the mountain
29,remove the people in the cave
30,replace the dark red hat with a brown hat
31,remove the leaves on the right
32,swap a woman's black belt for a white skirt
33,remove the words on the black box
34,replace the gray hat with a black and white hat
35,increase the number of sheep
36,remove the pattern on the two black charging heads
37,replace curly yellow hair with black hair
38,change the hairstyle of the person on the right to a bald head
39,replace bananas with pumpkins
40,remove people dressed in white
41,replace the orange feathers in the middle of the bird with pink
42,swap men's hairstyles for bald heads
43,replace the dog's nose with a pink nose
44,replace drones with tiny moths
45,remove the trees below
46,remove the signboard on the right
47,remove the pattern on the side of the motorcycle
48,replace the black hat with a gray hat
49,remove a meteor on the left
50,remove the tree on the right
51,replace the tennis ball with a small tennis ball
52,remove the phone from the quilt
53,replace the white chair with a wooden chair
54,remove the car
55,replace the child's blonde hair with brown hair
56,replace the blue and white plate in the bottom right with a pumpkin on the blue plate
57,replace a woman's brown hair with blonde hair
58,remove the blue edge of the garment
59,replace the white hat with white earrings
60,replace pink flowers with white ones
61,close the leopard's eyes
62,replace the hat worn by the person on the far left with a white hat
63,remove several holes in the snow
64,remove the left fork
65,replace the blue hat with a black hat
66,remove the white pattern on the shoulder of the black top
67,remove birds from the woods
68,remove the leaves in the lower left corner
69,remove the monk sculpture on the far right
70,remove the bracelet
71,remove the leftmost bird
72,remove words from gray clothing
73,remove stains from arms
74,swap blonde hair for black hair
75,remove the green pattern from red pants
76,remove wind turbines on both sides
77,remove sunglasses
78,remove the belt
79,remove the words on the yellow paper
80,remove the dog on the left
81,remove the hot air balloon
82,remove a seal from the water
83,replace a pine leaf with a maple leaf
84,change the paint on the far right to pink
85,replace forks and spoons with vegetable leaves
86,replace lotus leaves with dead leaves
87,replace a snowflake with a drop of water
88,remove the ring
89,delete text in the middle of the computer screen
90,remove the white pattern from the black t-shirt
91,replace the pink flower with a white flower
92,remove the building in the lower right corner
93,replace the grass in the lower left corner and the clod in the lower right corner with grass
94,remove the coconut tree on the left
95,replace three green apples with one red apple
96,remove the cheetah
97,replace pink flowers with yellow ones
98,remove the blueberry on the left
99,remove the green bud in the lower right corner
100,change the blue dress for a black one
101,remove the green leaves from the middle of the flower
102,remove the house
103,swap men's hairstyles for bald ones
104,replace the red tie with a gray tie
105,remove the green flowers from the stone
106,replace the black camera with a pink camera
107,replace red roses with pink roses
108,remove the white pattern from black pants
109,replace the top yellow egg with a pink egg
110,remove a white macaron
111,remove patterns from black short sleeves
112,replace the sunglasses with two gray boxes
113,remove the boat on the right
114,replace the gold pattern on the dark gray dress worn by the person in the middle with white stripes
115,swap black pants for blue pants
116,remove the two yellow tulips on the right
117,remove drinks from the table
118,swap blue clothes for black short sleeves
119,replace the child on the far right with a blue shirt
120,remove a small piece of land to the right at sea
121,replace the red rope with a bracelet
122,replace the drone with a bird
123,remove brooches from gray suits
124,remove the snowy mountain behind
125,replace the fruit in the lower right corner with an apple
126,remove the camel on the right
127,replace the words on the paper with painted fruit
128,replace the green ice cream with white ice cream
129,remove the cactus
130,remove the butterfly
131,replace a gift box with a leaf
132,replace the yellow leaf with a green leaf
133,replace the white star with a red fortune bag
134,remove birds from tree trunks
135,remove shoes from under the bike
136,add a kitten
137,add a bee
138,the beach turned into a cliff
139,remove the stone mounds on the beach
140,add a tent
141,the color of the sea turns blue
142,add a buddha statue
143,add a drift bottle
144,add a hot air balloon
145,add a butterfly
146,becoming white skin
147,add a little boy
148,remove large trees
149,nebula turns into a black hole
150,lipstick becomes a key
151,add a hat
152,add a mountaineer
153,remove chair
154,the color of the skirt turns black
155,red envelopes turn into plush toys
156,apple logo turns into huawei logo
157,there is only one shoe
158,remove the small trees on the right
159,turn three letters into two
160,turn two chairs into one
161,turn two computers into one
162,turn four camels into three
163,turn two people into one
164,turn two flowers into one
165,turn two bows into one
166,turn four children into three
167,turn four people into three
168,turn two whole carrots into one
169,turn two zebras into one
170,remove the fork underneath
171,remove the person under the zebra crossing
172,turn five chairs into four
173,turn three bowls of fruit into two
174,turn two oranges into one
175,there are only five flowers
176,turn two blue creatures into one
177,remove the fork on the right
178,turn five packages into four
179,turn three bunches of fruit into two
180,turn four pencils into two
181,turn six cherry tomatoes into three
