id,name
0,let the bears sit on a leather couch
1,Put a large monitor on the center of the desk.
2,Let's add a man in the kitchen.
3,let the asparagus be replaced with sausages
4,let there be a cup of yogurt
5,let the table have a checkered table cloth
6,Spill milk onto the floor.
7,Change the carrots to cucumbers
8,Change the color of the broth to yellow
9,remove things on the table
10,let the lights be yellow
11,let the chairs be red
12,Make them both cooked.
13,Get rid of the toppings on the top pizza.
14,Add a pizza cutter.
15,make the man bite into the pizza
16,let the guy have braided hair
17,let the man hold the pizza with both hands
18,let the glass vase be turned into a pot
19,remove the chairs
20,Replace the old motorcycle with an old bicycle.
21,Place a skateboard next to the bicycle.
22,There should be a poster of a panda on the windows.
23,Let the middle back Teddy bear wear a short dress.
24,Change the bowl of soup to a bowl of white rice
25,let there be a rain forest instead of a city
26,put a laptop on the table
27,put throw pillows on the couch
28,let there be chinese lanterns
29,let there be a US flag on the post
30,let there be a flying rocket
31,Make the radish a carrot.
32,let the bathtub be red
33,change the ocean to a park
34,add a duck
35,let the piece of food be a fish
36,add a flower pot
37,let the bear wear a hat
38,let a man be angry and shout
39,replace the couch with bar stools
40,let there be a still life painting
41,change the flowers to red color
42,add a phone next to the beaker
43,make a cub race with the bear down a street
44,make a boy sit on the bear
45,let a bird chase the bear
46,Remove the person.
47,change the skateboard into a stilt
48,let the man be bald
49,let there be fireworks in the sky
50,remove the neon lights
51,let the time on the clock show six o' clock
52,change the horse painting into a giraffe painting
53,let the wall have a geometric wallpaper
54,Put some fish on the table.
55,Can we put everything into a fish market?
56,what if the girl has glasses?
57,What if there is a child by the man's side.
58,Let the wooden bench be changed to a metal one.
59,Change the tulips to roses.
60,Make the vase sit on a marble table top.
61,Make a card beside the vase.
62,put a mask on the man
63,make the woman's hair blue
64,remove the parking meter and put a penguin with skiis in the photo
65,Give the man a beard.
66,The table should be full of pots and pans.
67,let a woman sit inside the train
68,let there be people waiting with bags at the station
69,let the train have glass doors
70,Let the chair be yellow.
71,Replace the frisbee with a ball.
72,Replace the grass with asphalt.
73,What if the woman on the side of the bus was holding a baby?
74,let the man wear a tuxedo
75,Let the elephant spray water with its trunk.
76,Get rid of the wine glass
77,turn the flowers into candles
78,add fireworks
79,Have there be a painting of a flower on the wall
80,Have there be a bee in the flower painting
81,Have there be a loaf of bread next to the toaster
82,Replace the catcher's mitt with a boxing glove.
83,What if she had a sad face?
84,What if the child was blonde?
85,Add a dog.
86,Put a pothole in the street.
87,Let a man sit on the chair.
88,Make the sandwich whole.
89,Turn the chips into fries.
90,Add some sauce to the plate.
91,Let the man sip the drink.
92,Remove the jars.
93,Place a plate with a burger on the counter.
94,A hot air balloon should also be floating.
95,An airplane should also be flying.
96,let the bag be red
97,let the doors be red
98,add a calendar on the wall
99,let the cat show his teeth
100,make the cat look to the side
101,make the cat stand
102,Have the laptop be showing a picture of a dragon
103,Have there be a gorilla crossing the road
104,Have the sky be full of lightning
105,Have the gorilla be playing a guitar
106,let the drawing pad have a colorful sketch
107,let the keyboard have backlit keys
108,let the bowl have beef stew
109,Let the jersey number be changed to 5.
110,put cereal in bowl instead of the applesauce
111,change one of the apples for an corn cob
112,have the cow eat from a pile of carrots.
113,have a duck swim in the tub of water
114,let the person wear a skirt
115,swap the birds for rats
116,remove the cars in the back
117,Let's add a table in the room.
118,Let's add a snake on the floor.
119,Let the trash can be filled with trash.
120,erase the cat and edit a boat in it's place
121,put burgers instead of hot dogs
122,remove the onions from the bowl and put french fries in place
123,the bowl needs to be full of meat.
124,the bowl should be red.
125,Can we have a sofa next to the cat?
126,What if the there is a dog on the bed?
127,let the giraffes eat ripe yellow leaves
128,let a lion sleep near the giraffes
129,let trees border the zoo
130,turn the dog into a balloon
131,Make the background a county fair.
132,Have him wear a cowboy hat.
133,Change the shirt to plaid
134,leave only oranges on the fruit pile
135,have the black bird sit in a lawn chair.
136,have the bird under an umbrella
137,add a tree
138,swap the man for a robot
139,make the kite turn into an airplane
140,make the sheep  a pony
141,Let the book be closed.
142,put a shirt on the cat
143,erase the keyboard and make the cat just sit on the desk
144,Put a cat on the sofa.
145,Make it a pepperoni pizza.
146,Give the woman glasses.
147,Remove one of the wine glasses.
148,give the bird an apple to eat
149,turn the bird black
150,Let the cat's eyes turn blue.
151,make the zebra happy
152,make the ears bigger
153,Let the truck be replaced by a police car.
154,Put a hill behind the the man.
155,Can he hold a log of wood?
156,Put a house on the hill.
157,make the man hold a wine bottle
158,Add a sleeping person to the couch.
159,Put a ski mask on the woman.
160,Make the skis a snowboard.
161,Put in a wolf chasing the woman.
162,place a panda in the kitchen
163,put a balloon cat in the picture
164,Put a bicycle next to the bus.
165,change the motor scooter to a limousine
166,add a puppy
167,add a stop sign on the meter
168,remove the mail boxes
169,let the building be a red brick building
170,change the bus color to blue
171,The man should be wearing a watch.
172,Remove the beer.
173,Could it be a sandwich?
174,Put a glass bottle next to the sandwich.
175,let the cat be laughing
176,have the cow singing to a microphone
177,Remove the adult.
178,Cook the pizzas.
179,Replace the hat with a crown.
180,Remove the fire exit sign.
181,put a cat on the table
182,place a dog on the couch
183,Have the airplanes be made out of legos.
184,Have a superhero janitor mopping the floor.
185,Put a large skylight window overhead.
186,put a chocolate cake on the plate instead of ice cream and berries
187,Let the two boys close their mouths.
188,Remove the basketball players and basketball hoop.
189,let the man wear a yellow shirt
190,let the boy have spiked hair
191,replace the red obstacle with a trashcan
192,let the glove be red
193,add a rat
194,add a tennis ball
195,Let the cat be replaced by a small and brown one.
196,One woman should be wearing a crown.
197,remove the fire hydrant
198,let a man skate on the skateboard
199,let there be a ramp on the skateboard
200,change the pink car to a white car
201,remove mopeds and motorcycles on the left street
202,add a dog next to the white car
203,Have there be birds attacking the person
204,It should be a truck.
205,Put a building next to the truck.
206,Put a traffic cone on the front of the truck.
207,Have there be a French flag sticking out of the fruit
208,Have there be a cup of coffee next to the plate
209,let the beverage be red wine
210,change the salad into french fries
211,change the shape of the square plate into a round one
212,Let a bench be placed in front of the clock.
213,turn the skate boarder into a panda
214,put the panda on top of a wave
215,Let a horse painting be hung on the wall.
216,turn the van into a sedan
217,let a man sit next to the sedan
218,Let the toilet lid be opened.
219,Add a cup of coffee.
220,let a man sit on a chair
221,let a man put his hands on his back
222,give the man a mohawk
223,let the plate hold sausages
224,let the keyboard be a gaming keyboard
225,let the vase contain daisies
226,It should be a bun full of vegetables.
227,Can you put a bottle of beer in the background?
228,Put a monitor  on the background.
229,let the baseball glove be red
230,let the tarmac have a snow removal vehicle
231,let a flight crew walk near the vehicle
232,let a fighter jet descend
233,Erase the buildings.
234,Replace the pizza with a tray of burgers.
235,Replace the stove with a wooden table.
236,Make the traffic light green.
237,What if the man was bald?
238,Let's add Glasses to the man.
239,replace the plastic with a knife
240,give the girl a chef hat.
241,change the Nintendo controller into carrots
242,make the man shout
243,let the man wave his hand
244,let a referee look at the man
245,let one of the pizzas be a mushroom pizza
246,add a phone near the pizza
247,add a soda can
248,leave only one man
249,change the ravioli pouches into sushi
250,change the fork to chopsticks
251,add daffodils
252,What if the girl is holding the toothbrush?
253,Change the color of the hat to white.
254,Change the color of the white tie to yellow.
255,Change the color of the boy's pants to yellow.
256,the dog should be on top of the laptop.
257,Give the man a big smile with teeth showing.
258,Make the video game character also have a big smile.
259,Shorten the character's hair.
260,Let the man hold a cellphone instead.
261,change the orange bowl to a blue bowl
262,change broccoli to mushrooms
263,add a cup of hot chocolate
264,Remove the girl.
265,Give him glasses.
266,Give him a buzz cut.
267,Let the baked goods be changed to a croissant.
268,replace the refrigerator with a cupboard
269,add a snake on the floor
270,add a vase with flowers next to the sink
271,let there be a movie poster on the bus
272,A lake should be visible in the background.
273,Make the girl gasp.
274,Turn the water into wine.
275,Make the woman smile.
276,Make the parking meter a tree.
277,Make it a Christmas tree.
278,let the brown food be cupcakes
279,replace milk with orange juice
280,add salad on a plate
281,add a deer inspecting the blanket
282,change the candy into cookies
283,change the white bag into a red tote bag
284,give one woman a big hair
285,Have there be a fire in the fireplace
286,Can we have a tv reflection on the microwave?
287,Should it have a cabinet under the microwave.
288,let the bus be turned into a truck
289,let there be cardboard boxes
290,let the cat climb the luggage compartment
291,put a boiled egg on that plate
292,leave only green food and the egg on the plate
293,make her throw a  watermelon
294,Add a goat.
295,Have Godzilla looking over the top of the building from behind
296,Make the broccoli into chicken.
297,have the person throw a bowling ball
298,Set the kitchen floor on fire.
299,swap the pots for Christmas decoration
300,change the stove for a silver sink
301,Put a bird on the man's shoulder.
302,replace the no parking sign with a traffic light
303,make the cat white
304,let the web page on the computer be blue
305,add an abstract painting on the wall
306,let the chairs be red
307,add a vase on the table
308,add a dog sleeping on the floor
309,let the toilet seat be up
310,change the ramp into stairs
311,add a goat
312,Put a soccer ball on the grass.
313,let the other giraffe be a smaller calf
314,let there be a pond
315,let a girl sit on the giraffe
316,Have there be a killer whale in the water
317,let the woman have straight blonde hair
318,let the woman be surprised
319,let the plate have pasta
320,Let the neck tie be torn.
321,make the bear scary
322,We could give the horse shorter fur.
323,Let's change the boy's helmet to a green one.
324,It could be a lap top on the table.
325,Put a cup of coffee on the table.
326,Add a mouse on the table.
327,replace the laptop wiht a tv
328,change the wooden spoon to yellow spoon
329,add sausages to the pan
330,add a spider next to the spoon
331,replace the orange slices with an apple
332,put a boiled egg next to the sandwich
333,put carrots on the plate
334,change the floor to grass.
335,Give the bird a long tail.
336,add eggs near the bird.
337,Let the bear be changed to a man.
338,Let the man hold a yellow umbrella.
339,put a star on top of the christmas tree
340,add gifts on the table
341,add a dog on the couch
342,change the sunset into a cloudy sky
343,make the cow leap
344,let the cow have big horns
345,Give the motorcycle a happy face.
346,Add fire to the candles.
347,change the stop sign into a walk sign
348,make a homeless man sit
349,let the building at the back be the Parthenon
350,Let the water be replaced by coke.
351,change the toasted bread to pizzas
352,change the cup of coffee to a cup of tea
353,change the bowl of cereal to a bowl of salad
354,let the monitor show a star field wallpaper
355,let the keyboard be a gaming backlit keyboard
356,let there be a tall bottle of champagne on the desk
357,Remove the off-white chair.
358,Make the remaining chairs wooden.
359,"Clear the table, except for the vase."
360,Make the boy smile.
361,Replace the pigeon with an owl.
362,turn off the computer screen
363,take the skull off the desk
364,get rid of one of the speakers
365,Let the grass grow longer.
366,"Have the snowboard say ""BRR"" on it"
367,Make the person hold a gun.
368,"Change the text on the cake to ""CK"""
369,Have one man be wearing a cowboy hat
370,Let the car be replaced by a yellow cab.
371,let the bike have a rear view mirror
372,let there be hands on the handle bar
373,let there be a stop sign
374,Turn the fries into wedges.
375,Add some ketchup to the plate.
376,Have there be a bug on the donut
377,let the cat sleep
378,Add a UFO
379,Add another small elephant.
380,The woman should be wearing a helmet.
381,Let the person play baseball.
382,Take away one of the children.
383,Put bunny ears on the child.
384,Put a mustache on the woman.
385,Let's add a dog running to the group.
386,Put cracks in the floor.
387,Have a watering hole behind the zebras.
388,Change the truck to a fence.
389,let it be a mushroom pizza
390,add a cat on the wooden board
391,add a cup of coffee
392,let there be cookies in the tray
393,let there be a religious book instead of a coloring book
394,let there be a small bird
395,Put the moon in the sky.
396,swap the tree for a pinata
397,put cup cakes in place of the desserts
398,Let the painting be changed to a dog picture.
399,It should be a sandwich on the plate.
400,Can we put a knife on the plate?
401,Put a cup of coffee next to the plate.
402,Remove the TV screen.
403,Remove the small hand towel.
404,Remove the person in the mirror.
405,make a person ride the bike
406,Add a clown outside.
407,change the raw meat into cooked meat
408,let the juicer contain juice
409,let the kitchen counter be tiled
410,Have the giraffe be wearing a big bowtie
411,Have there be a clock on the wall
412,remove the sale prices
413,make the donuts different from each other
414,ice some of the donuts
415,put a big rubber duck on the hydrant
416,make the entire hydrant blue
417,Remove the trash can.
418,Change the window curtain color to black.
419,let the lady whistle
420,let the lady take a bite
421,let the woman wear a crop top
422,Change the fake bird to a real bird.
423,Get rid of the painted chimney and change the colour of the train cars
424,Make the mural larger
425,Change the helmet color to pink
426,Add a dog in the bag
427,Change the dress for a pair of jeans
428,Let the zebra on the left yawn.
429,put a giant shark in the background
430,add an apple
431,have a ufo emerge from the ocean
432,put a campfire on the boat
433,remove the advertisement
434,add swimming ducks
435,add rubber duckies
436,make the giraffe turn around and look at the zebra
437,We could put a pizza insted of the bowl.
438,We should put a microwave insted of a eletric oven.
439,Add a glass of wine on the table.
440,Have the woman be wearing green lipstick
441,Have the woman be wearing a headband
442,Change the sunglasses on the woman's head to be goggles
443,Put a snake in the toilet.
444,Turn the laptop orange.
445,Give the keyboard lights.
446,put a piece of bread on the image
447,add a duck
448,give the dog ice cream instead of a stick
449,remove the tennis racket and a ball and put a baseball bat in it's place
450,put shoes next to the bat
451,add a little bear on roller skates
452,have the big bear take a picture
453,add more skating bears
454,remove the broccoli
455,add a cat
456,add a laptop
457,remove one of the jars
458,she is now cutting up carrots
459,put a picture on her hand
460,the picture should be framed
461,Remove the telephone.
462,Put a fur coat on the bed.
463,The curtains should be drawn open.
464,Let the bear be calm.
465,Put a red microwave on the counter.
466,The sink should be white.
467,Can you put some knifes on the counter?
468,Let the boy on the skateboard ride a bike.
469,Let the table be round.
470,add a spider inside the toilet
471,Change the mountains to a house.
472,Have a wagon on the path.
473,Have a child play near the cow
474,Make the bird white.
475,Remove the cars.
476,let a set of ski be a skateboard
477,let a snowball be near the the poles
478,Replace the meat with soup.
479,Turn all the veggies on the plate into mashed potatoes.
480,Flip the bowl in the back.
481,Make one of the bears a large cat.
482,Make a dog join the bear and cat.
483,let the surfboard be red
484,add a mongoose next to the surfboard
485,let the building in the back be a church
486,Change the woman's necklace to a gold pendant
487,Have the woman be holding a credit card instead of using a cellphone
488,change the train into a passanger train.
489,add a train station
490,add snow
491,the dog is looking forward
492,remove those wine bottles
493,let a man sit on the motorcycle
494,let there be a hot dog stand
495,let there be a historic Greek building at the back
496,let a woman be next to the sign
497,let there be a sedan near the sidewalk
