,category,df1,df2,spearman_corr,spearman_p_value,pearson_corr,pearson_p_value
0,adds,human_rating_binary,viclip_score,0.15075567228888184,0.5635658404455406,0.11571672731730495,0.6582998873311541
1,adds,human_alignment_binary,viclip_score,0.27638539919628335,0.2828852508179528,0.27181108848426994,0.29125288806986516
2,adds,human_aesthetics_binary,viclip_score,0.14433756729740646,0.5804709682596477,0.12138933005415754,0.6425755746561237
3,adds,human_consistency_binary,viclip_score,0.2646188733785785,0.30470715614983285,0.22082418006352053,0.39437077362545564
4,adds,human_rating_multi,viclip_score,0.14269088353902398,0.5848422993523151,0.12248803916934273,0.6395462483646508
5,adds,human_alignment_multi,viclip_score,0.2550017260983022,0.32326414667003067,0.25947483733721316,0.3145525536925472
6,adds,human_aesthetics_multi,viclip_score,0.051032933760485275,0.8457744559961934,-0.007861544184322763,0.9761107514445719
7,adds,human_consistency_multi,viclip_score,0.10094886441890216,0.6998621956380499,-0.018657097236114806,0.9433409377278673
8,changes,human_rating_binary,viclip_score,0.1843184770506931,0.25488877392314396,0.1914725292444344,0.23658425587627657
9,changes,human_alignment_binary,viclip_score,0.1843184770506931,0.25488877392314396,0.1914725292444344,0.23658425587627657
10,changes,human_aesthetics_binary,viclip_score,0.13535877557006562,0.4049686445699946,0.1327915198603404,0.4140184479172338
11,changes,human_consistency_binary,viclip_score,0.22006878224335638,0.17241089908311366,0.20637322753519327,0.2013778010742916
12,changes,human_rating_multi,viclip_score,0.18630734578209185,0.24970780553467103,0.19256960122630168,0.23385828136599246
13,changes,human_alignment_multi,viclip_score,0.1577273096217751,0.3310381428983784,0.15738525387962357,0.3321012232388171
14,changes,human_aesthetics_multi,viclip_score,0.049780539922702316,0.7603315841003269,0.08948881002119502,0.5829137843984221
15,changes,human_consistency_multi,viclip_score,0.19816990916936153,0.22027610367436215,0.20071805870895684,0.2142796811380001
16,removals,human_rating_binary,viclip_score,-0.2581988897471611,0.7418011102528389,-0.1794083519956594,0.8205916480043407
17,removals,human_alignment_binary,viclip_score,0.4472135954999579,0.552786404500042,0.5339399451241603,0.46606005487583957
18,removals,human_aesthetics_binary,viclip_score,0.0,1.0,0.0008376625858136227,0.9991623374141865
19,removals,human_consistency_binary,viclip_score,,,,
20,removals,human_rating_multi,viclip_score,0.39999999999999997,0.6,0.37684099611846356,0.6231590038815364
21,removals,human_alignment_multi,viclip_score,0.39999999999999997,0.6,0.5237354713171016,0.47626452868289837
22,removals,human_aesthetics_multi,viclip_score,-0.2581988897471611,0.7418011102528389,-0.17940835199565938,0.8205916480043407
23,removals,human_consistency_multi,viclip_score,-0.632455532033676,0.367544467966324,-0.5972820149351676,0.40271798506483236
24,replacements,human_rating_binary,viclip_score,-0.8660254037844387,0.3333333333333332,-0.8512446993342443,0.351696567641327
25,replacements,human_alignment_binary,viclip_score,-0.8660254037844387,0.3333333333333332,-0.8512446993342443,0.351696567641327
26,replacements,human_aesthetics_binary,viclip_score,,,,
27,replacements,human_consistency_binary,viclip_score,,,,
28,replacements,human_rating_multi,viclip_score,-0.8660254037844387,0.3333333333333332,-0.8512446993342442,0.351696567641327
29,replacements,human_alignment_multi,viclip_score,-1.0,0.0,-0.9130933937623351,0.267373351319383
30,replacements,human_aesthetics_multi,viclip_score,-0.5,0.6666666666666667,-0.7367336888401206,0.4727342859650037
31,replacements,human_consistency_multi,viclip_score,-0.8660254037844387,0.3333333333333332,-0.8512446993342443,0.351696567641327
32,unkategorisiert,human_rating_binary,viclip_score,0.4008918628686366,0.1746008147614228,0.4457566304418059,0.1268527703558444
33,unkategorisiert,human_alignment_binary,viclip_score,0.23145502494313785,0.44674159662419666,0.25660500319948965,0.3973940547267227
34,unkategorisiert,human_aesthetics_binary,viclip_score,0.2672612419124244,0.3773738685752641,0.27455929126494616,0.36397668271452
35,unkategorisiert,human_consistency_binary,viclip_score,0.4008918628686366,0.1746008147614228,0.4457566304418059,0.1268527703558444
36,unkategorisiert,human_rating_multi,viclip_score,0.2353468933869107,0.4389169880057322,0.396340622049158,0.1800050821146781
37,unkategorisiert,human_alignment_multi,viclip_score,0.5564167261044385,0.048281956764678065,0.41576026630595875,0.15767316630291006
38,unkategorisiert,human_aesthetics_multi,viclip_score,0.18861583935743678,0.5371554056478793,0.24979594731160806,0.41046698261396136
39,unkategorisiert,human_consistency_multi,viclip_score,0.19455343186651283,0.5241745566220846,0.24785734011217153,0.41422846904324145
