,category,df1,df2,spearman_corr,spearman_p_value,pearson_corr,pearson_p_value
0,add,SC,viclip_score,0.19286246655059802,0.4432332550926117,0.187138318419585,0.4571375225488574
1,add,PQ,viclip_score,-0.06424925662032355,0.8000531491539615,-0.12863035064282025,0.6109798386971153
2,change,SC,viclip_score,-0.39180195498468934,0.08755223984124526,-0.4238913891961357,0.06252192905073475
3,change,PQ,viclip_score,-0.25492261722925735,0.2780595947590015,-0.27329080296425445,0.24367153682925585
4,could,SC,viclip_score,0.9999999999999999,,1.0,1.0
5,could,PQ,viclip_score,0.9999999999999999,,1.0,1.0
6,edit,SC,viclip_score,0.9999999999999999,,1.0,1.0
7,edit,PQ,viclip_score,0.9999999999999999,,1.0,1.0
8,get rid of,SC,viclip_score,0.8660254037844387,0.3333333333333332,0.622770411879811,0.5720141324535275
9,get rid of,PQ,viclip_score,0.8660254037844387,0.3333333333333332,0.622770411879811,0.5720141324535275
10,give,SC,viclip_score,0.23904572186687875,0.648261294967307,0.23605136264037657,0.6524993760138251
11,give,PQ,viclip_score,-0.3086066999241838,0.5517855072529712,-0.19494479923470653,0.7112870910254897
12,have,SC,viclip_score,-0.779749099395862,0.004652224368151449,-0.7078427409436143,0.014805464205222331
13,have,PQ,viclip_score,-0.7356123579206246,0.009873539964277974,-0.7749741110579855,0.005085593813023429
14,let,SC,viclip_score,0.3278121145729401,0.050965589716368456,0.35089205807388724,0.0358797532910908
15,let,PQ,viclip_score,-0.0907676056683123,0.5985586101106644,-0.01154487668509839,0.9467196223752893
16,make,SC,viclip_score,-0.3679419618601929,0.07689871692429774,-0.38182590727756177,0.06559671196361472
17,make,PQ,viclip_score,-0.04758668672668005,0.8252436824986831,-0.07263561477092309,0.7358981005893915
18,open,SC,viclip_score,0.9999999999999999,,1.0,1.0
19,open,PQ,viclip_score,0.9999999999999999,,1.0,1.0
20,place,SC,viclip_score,,,,
21,place,PQ,viclip_score,,,,
22,put,SC,viclip_score,0.03544874830813856,0.8854436253383866,0.003651026081505526,0.9881646264607397
23,put,PQ,viclip_score,-0.26783392203638257,0.2675975499952822,-0.1690769298701721,0.488960358070848
24,remove,SC,viclip_score,0.21604524219604254,0.5000550284293745,0.4066033720291056,0.1896283456231131
25,remove,PQ,viclip_score,-0.25623537159526916,0.4214617212299674,-0.09358272215129168,0.7723668817055445
26,replace,SC,viclip_score,-0.8944271909999159,0.10557280900008414,-0.8857052586455345,0.11429474135446549
27,replace,PQ,viclip_score,-0.9486832980505139,0.05131670194948612,-0.8792159680093543,0.12078403199064569
28,should be,SC,viclip_score,-0.7637626158259734,0.027396043909112048,-0.7378529439937677,0.036646975866806944
29,should be,PQ,viclip_score,0.0,1.0,0.11673291204747588,0.7831059985444192
30,turn,SC,viclip_score,0.10540925533894598,0.894590744661054,-0.3509177397635349,0.6490822602364652
31,turn,PQ,viclip_score,0.7745966692414834,0.22540333075851657,0.4289366522061504,0.5710633477938496
32,what if,SC,viclip_score,0.5,0.6666666666666667,0.045217969894748966,0.9712035274187232
33,what if,PQ,viclip_score,0.5,0.6666666666666667,0.045217969894748966,0.9712035274187232
