id,turn,SC,PQ
100081,1,0.0,1.0
100081,3,0.0,0.0
100558,1,0.0,0.5
102171,1,0.5,0.5
102625,1,0.0,0.0
102625,2,0.5,1.0
102724,1,0.5,0.0
104304,1,0.5,0.0
104304,2,1.0,1.0
104304,3,0.0,0.0
106508,1,0.0,0.0
106508,2,0.5,0.5
106772,1,0.0,0.0
106772,2,0.5,0.5
108871,1,0.5,0.5
108871,2,1.0,0.0
109776,1,0.0,0.0
11091,1,0.0,0.0
111376,1,0.5,0.5
112286,1,0.0,0.5
121612,1,0.0,1.0
122896,1,0.5,0.5
125106,1,0.5,0.5
125106,2,0.5,0.5
125106,3,1.0,1.0
129062,1,0.0,1.0
129062,2,1.0,0.5
129587,1,0.5,0.5
129587,2,0.0,0.0
129587,3,0.5,0.0
130518,1,1.0,0.5
134290,1,0.0,0.0
134290,2,0.0,0.0
134597,1,1.0,0.5
139276,1,1.0,1.0
140513,1,0.0,0.0
140513,2,0.5,0.5
142400,1,0.5,0.0
142400,2,0.5,0.0
142510,1,0.5,0.5
142510,2,0.0,1.0
142585,1,1.0,1.0
147546,1,0.0,0.0
148240,1,0.5,0.0
148240,2,0.5,0.0
150812,1,0.0,0.5
151,1,0.0,0.0
153639,2,0.0,0.0
155790,1,0.0,0.0
158548,1,0.5,0.0
158548,2,0.0,0.5
158726,1,1.0,1.0
158726,2,0.5,0.0
163114,2,0.5,0.5
17320,1,0.5,1.0
175584,1,1.0,1.0
175584,2,1.0,1.0
175584,3,0.5,0.5
177572,1,0.5,0.5
177824,1,0.5,0.5
178403,1,1.0,1.0
178403,2,1.0,1.0
178403,3,1.0,1.0
178928,1,0.5,0.0
178928,2,0.5,0.0
181699,1,1.0,0.5
181699,2,1.0,0.5
182759,3,0.5,0.5
184184,1,1.0,0.5
184184,2,0.5,0.0
184384,1,0.0,1.0
187866,1,1.0,1.0
188612,1,1.0,1.0
189893,1,1.0,0.5
190360,2,0.5,0.0
193680,1,0.5,0.5
203920,1,0.0,1.0
204837,1,1.0,0.5
204863,1,1.0,1.0
205344,1,0.0,0.5
205344,2,0.0,1.0
207833,1,0.5,0.0
211860,1,1.0,1.0
211860,2,1.0,0.5
214848,1,0.5,0.5
214848,2,1.0,1.0
215135,1,1.0,1.0
215135,2,1.0,1.0
219590,1,0.5,0.5
221222,1,1.0,1.0
221427,1,0.5,0.5
229301,1,0.0,0.5
234956,1,0.5,1.0
234956,2,0.5,0.0
234956,3,0.5,1.0
235802,1,0.0,0.5
235802,2,1.0,0.5
237569,1,0.5,0.5
237569,2,0.0,0.0
240967,1,0.0,0.0
240967,2,0.0,0.5
24585,1,0.0,0.5
24629,1,0.0,0.0
249441,1,1.0,1.0
253975,1,0.0,0.0
254387,1,0.0,0.5
256884,1,1.0,1.0
256884,2,0.0,1.0
2585,1,0.0,1.0
2585,2,0.0,0.0
259097,1,1.0,1.0
259097,2,1.0,1.0
259097,3,1.0,1.0
25989,1,1.0,0.5
25989,2,0.0,0.5
25989,3,0.5,0.5
262161,1,0.5,1.0
266961,1,0.0,0.0
267300,1,1.0,1.0
267300,2,1.0,1.0
26735,1,0.0,0.5
270186,1,1.0,1.0
270650,1,0.0,0.5
272405,1,0.0,0.0
272405,2,1.0,1.0
272405,3,1.0,0.5
273560,1,0.0,1.0
273560,2,0.0,0.5
273560,3,1.0,1.0
289514,1,0.5,1.0
291614,1,1.0,1.0
291614,2,0.0,1.0
291861,1,0.0,0.5
292451,1,1.0,1.0
292451,2,1.0,0.5
292451,3,0.5,0.5
293027,1,0.5,1.0
29324,1,1.0,1.0
294973,1,0.5,1.0
299200,1,0.0,1.0
299200,2,0.0,0.0
299200,3,0.5,0.5
302107,2,1.0,1.0
308192,1,0.0,0.5
309,1,0.0,0.0
309,2,0.5,0.5
311326,1,0.5,0.5
3131,1,0.5,0.5
313345,1,0.5,0.0
313345,2,0.5,0.5
315319,1,0.0,1.0
315319,2,0.5,1.0
31749,1,1.0,1.0
317806,1,1.0,1.0
319096,1,1.0,1.0
329847,1,1.0,1.0
329847,2,1.0,1.0
332877,1,1.0,0.5
334809,1,1.0,1.0
335479,1,0.5,0.5
336015,1,1.0,1.0
336015,2,0.0,1.0
336015,3,0.5,1.0
337180,1,0.5,1.0
337180,2,1.0,1.0
337180,3,1.0,0.5
34,1,0.5,0.5
34,2,1.0,1.0
341070,1,0.0,1.0
352426,1,0.0,1.0
352426,2,0.0,0.5
352426,3,0.5,0.0
353915,1,1.0,0.5
354126,1,1.0,0.5
357220,1,0.5,0.5
357865,1,0.5,0.5
358868,1,0.0,0.0
365258,1,1.0,1.0
365258,2,1.0,1.0
