,_id,id,turn,rater,alignment,quality,consistency,overall
0,677d856e8640497613a5ea32,194956,3,renz,1,10,10,1
1,677d856e8640497613a5ea35,172537,1,renz,9,4,3,6
2,677d856e8640497613a5ea36,172537,2,renz,3,8,8,4
3,677d856e8640497613a5ea62,334809,1,renz,10,9,8,10
4,677d856e8640497613a5ea91,92009,2,renz,10,9,10,10
5,677d856e8640497613a5eaa9,181699,3,renz,1,7,8,1
6,677d856e8640497613a5eab6,381199,1,renz,9,10,10,9
7,677d856e8640497613a5eaba,153639,3,renz,10,9,9,9
8,677d856e8640497613a5eac2,31749,1,renz,10,10,9,10
9,677d856e8640497613a5eac6,302107,1,renz,7,7,9,7
10,677d856e8640497613a5eac7,302107,2,renz,8,8,9,8
11,677d856e8640497613a5eae7,57357,2,renz,9,10,10,9
12,677d856e8640497613a5eaf6,272405,3,renz,10,9,3,6
13,677d856e8640497613a5eb0a,399759,2,renz,10,9,9,9
14,677d856e8640497613a5eb2d,493074,1,renz,10,10,10,10
15,677d856e8640497613a5eb8a,25139,1,renz,1,1,1,1
16,677d856e8640497613a5eb8e,106772,1,renz,10,7,8,8
17,677d856e8640497613a5eba3,428304,1,renz,8,9,9,9
18,677d856e8640497613a5ebc8,512576,3,renz,6,8,8,6
19,677d856e8640497613a5ebf6,206622,1,renz,10,10,10,10
20,677d856e8640497613a5ea11,17320,2,renz,1,10,10,1
21,677d856e8640497613a5ea16,112286,1,renz,10,2,2,3
22,677d856e8640497613a5ea23,544114,2,renz,9,10,10,10
23,677d856e8640497613a5ea2e,80932,2,renz,10,8,10,10
24,677d856e8640497613a5ea3f,57350,1,renz,10,9,9,10
25,677d856e8640497613a5ea41,496215,1,renz,9,9,9,9
26,677d856e8640497613a5ea4a,299200,1,renz,9,10,10,10
27,677d856e8640497613a5ea79,54492,2,renz,1,1,1,1
28,677d856e8640497613a5ea80,565269,3,renz,7,2,2,2
29,677d856e8640497613a5ea9c,209923,3,renz,9,10,10,10
30,677d856e8640497613a5eaa1,43425,1,renz,10,6,6,6
31,677d856e8640497613a5eae0,44437,1,renz,10,9,10,10
32,677d856e8640497613a5eae2,490317,1,renz,10,9,9,10
33,677d856e8640497613a5eae8,57357,3,renz,1,1,1,1
34,677d856e8640497613a5eaeb,459272,3,renz,10,6,6,7
35,677d856e8640497613a5eaf8,50151,2,renz,9,6,6,7
36,677d856e8640497613a5eb0f,415314,2,renz,10,9,10,10
37,677d856e8640497613a5eb2b,515743,1,renz,3,1,3,1
38,677d856e8640497613a5eb49,429011,2,renz,1,3,3,2
39,677d856e8640497613a5eba4,428304,2,renz,10,10,9,10
40,677d856e8640497613a5eba7,501972,1,renz,10,8,9,9
41,677d856e8640497613a5ebaf,190360,3,renz,2,9,9,2
42,677d856e8640497613a5ebb1,531495,2,renz,10,2,2,2
43,677d856e8640497613a5ea10,17320,1,renz,10,10,10,10
44,677d856e8640497613a5ea1e,475195,2,renz,9,3,3,6
45,677d856e8640497613a5ea25,291614,1,renz,9,9,10,9
46,677d856e8640497613a5ea6c,86582,1,renz,10,9,9,9
47,677d856e8640497613a5ea7c,211860,2,renz,9,9,9,9
48,677d856e8640497613a5ea83,70952,1,renz,10,10,10,10
49,677d856e8640497613a5ea88,336015,1,renz,2,2,2,2
50,677d856e8640497613a5eaa5,360871,1,renz,7,6,7,7
