,_id,id,turn,rater,alignment,quality,consistency,overall
0,677d856e8640497613a5ea36,172537,2,sona,10,9,9,9
1,677d856e8640497613a5ea62,334809,1,sona,10,7,10,8
2,677d856e8640497613a5eaa9,181699,3,sona,5,3,5,3
3,677d856e8640497613a5eab6,381199,1,sona,10,7,10,7
4,677d856e8640497613a5eac7,302107,2,sona,9,9,8,8
5,677d856e8640497613a5eae7,57357,2,sona,10,6,5,7
6,677d856e8640497613a5eaf6,272405,3,sona,10,2,2,2
7,677d856e8640497613a5eb8a,25139,1,sona,10,10,10,10
8,677d856e8640497613a5eba3,428304,1,sona,10,10,10,10
9,677d856e8640497613a5ebc8,512576,3,sona,10,9,7,8
10,677d856e8640497613a5ebf6,206622,1,sona,10,10,10,10
11,677d856e8640497613a5ea2e,80932,2,sona,10,7,10,9
12,677d856e8640497613a5ea3f,57350,1,sona,10,10,10,10
13,677d856e8640497613a5ea41,496215,1,sona,8,8,7,8
14,677d856e8640497613a5eaa1,43425,1,sona,8,9,10,9
15,677d856e8640497613a5eae2,490317,1,sona,4,4,4,4
16,677d856e8640497613a5eaeb,459272,3,sona,10,6,9,9
17,677d856e8640497613a5eaf8,50151,2,sona,9,2,3,2
18,677d856e8640497613a5eb2b,515743,1,sona,5,2,4,4
19,677d856e8640497613a5eb49,429011,2,sona,3,3,2,2
20,677d856e8640497613a5ebaf,190360,3,sona,5,6,7,5
21,677d856e8640497613a5ea10,17320,1,sona,7,5,6,6
22,677d856e8640497613a5ea1e,475195,2,sona,8,5,5,5
23,677d856e8640497613a5ea25,291614,1,sona,10,5,5,6
24,677d856e8640497613a5ea88,336015,1,sona,9,5,8,7
25,677d856e8640497613a5eaa5,360871,1,sona,6,4,3,4
26,677d856e8640497613a5eaae,341070,1,sona,1,2,4,2
27,677d856e8640497613a5eada,270186,1,sona,10,10,10,10
28,677d856e8640497613a5eb05,163114,2,sona,5,5,6,6
29,677d856e8640497613a5eb1c,134597,1,sona,5,5,5,4
30,677d856e8640497613a5eb3a,205344,2,sona,10,4,6,4
31,677d856e8640497613a5eb3f,565012,1,sona,5,4,6,5
32,677d856e8640497613a5eb6d,100081,3,sona,2,2,3,2
