,_id,id,turn,rater,alignment,quality,consistency,overall
0,677d856e8640497613a5ea32,194956,3,Thomas,1,5,6,1
1,677d856e8640497613a5ea35,172537,1,Thomas,7,5,5,6
2,677d856e8640497613a5ea36,172537,2,Thomas,10,9,9,9
3,677d856e8640497613a5ea62,334809,1,Thomas,10,8,10,8
4,677d856e8640497613a5ea91,92009,2,Thomas,10,10,10,10
5,677d856e8640497613a5eaa9,181699,3,Thomas,1,4,8,1
6,677d856e8640497613a5eac2,31749,1,Thomas,8,7,10,7
7,677d856e8640497613a5eac6,302107,1,Thomas,6,9,10,6
8,677d856e8640497613a5eac7,302107,2,Thomas,10,8,8,9
9,677d856e8640497613a5eae7,57357,2,Thomas,10,10,9,10
10,677d856e8640497613a5eaf6,272405,3,Thomas,10,1,3,2
11,677d856e8640497613a5eb0a,399759,2,Thomas,10,7,10,7
12,677d856e8640497613a5eb8a,25139,1,Thomas,6,9,10,6
13,677d856e8640497613a5eba3,428304,1,Thomas,9,9,9,9
14,677d856e8640497613a5ebc8,512576,3,Thomas,10,9,10,9
15,677d856e8640497613a5ebf6,206622,1,Thomas,10,10,10,10
16,677d856e8640497613a5ea11,17320,2,Thomas,5,5,5,5
17,677d856e8640497613a5ea2e,80932,2,Thomas,6,2,4,4
18,677d856e8640497613a5ea41,496215,1,Thomas,9,4,4,6
19,677d856e8640497613a5ea79,54492,2,Thomas,1,2,2,2
20,677d856e8640497613a5ea80,565269,3,Thomas,10,4,7,4
21,677d856e8640497613a5ea9c,209923,3,Thomas,10,9,10,9
22,677d856e8640497613a5eae0,44437,1,Thomas,10,9,10,9
23,677d856e8640497613a5eae2,490317,1,Thomas,7,9,9,7
24,677d856e8640497613a5eae8,57357,3,Thomas,0,8,8,0
25,677d856e8640497613a5eb2b,515743,1,Thomas,9,6,9,7
26,677d856e8640497613a5eb49,429011,2,Thomas,0,8,9,1
27,677d856e8640497613a5ebaf,190360,3,Thomas,8,9,10,9
28,677d856e8640497613a5ebb1,531495,2,Thomas,10,3,3,6
29,677d856e8640497613a5ea1e,475195,2,Thomas,7,2,4,5
