_id,alignment,quality,consistency,overall,id,turn
677d856e8640497613a5ea07,7.0,8.667,9.0,7.333,142585,1
677d856e8640497613a5ea08,10.0,9.333,9.667,9.667,392687,1
677d856e8640497613a5ea09,6.667,8.0,8.333,7.0,392687,2
677d856e8640497613a5ea0a,7.0,4.333,6.333,4.667,392687,3
677d856e8640497613a5ea0b,10.0,6.333,7.0,7.333,139276,1
677d856e8640497613a5ea0c,9.333,9.667,8.0,8.0,523394,1
677d856e8640497613a5ea0d,1.333,9.667,10.0,2.0,398575,1
677d856e8640497613a5ea0e,9.667,7.667,7.333,8.0,398575,2
677d856e8640497613a5ea0f,1.0,10.0,10.0,1.667,398575,3
677d856e8640497613a5ea10,9.667,7.667,9.333,7.667,17320,1
677d856e8640497613a5ea11,0.667,10.0,10.0,1.0,17320,2
677d856e8640497613a5ea12,5.0,7.667,8.333,4.667,17320,3
677d856e8640497613a5ea13,10.0,9.333,9.667,9.667,532493,1
677d856e8640497613a5ea14,10.0,9.667,10.0,9.667,532493,2
677d856e8640497613a5ea15,8.0,9.667,10.0,8.667,532493,3
677d856e8640497613a5ea16,10.0,3.0,5.0,4.0,112286,1
677d856e8640497613a5ea17,10.0,8.667,10.0,9.0,112286,2
677d856e8640497613a5ea18,2.0,4.667,5.333,2.0,112286,3
677d856e8640497613a5ea19,10.0,5.333,6.667,6.333,67269,1
677d856e8640497613a5ea1a,9.333,6.0,7.333,7.333,67269,2
677d856e8640497613a5ea1b,0.667,9.0,9.333,2.0,148240,1
677d856e8640497613a5ea1c,10.0,7.667,8.333,8.333,148240,2
677d856e8640497613a5ea1d,10.0,9.667,10.0,10.0,475195,1
677d856e8640497613a5ea1e,9.667,4.667,5.667,6.333,475195,2
677d856e8640497613a5ea1f,4.0,7.667,9.333,4.0,381112,1
677d856e8640497613a5ea20,1.0,5.333,6.0,1.667,381112,2
677d856e8640497613a5ea21,8.667,5.333,8.0,6.667,381112,3
677d856e8640497613a5ea23,9.667,10.0,10.0,10.0,544114,2
677d856e8640497613a5ea24,9.333,9.0,10.0,9.333,544114,3
677d856e8640497613a5ea25,9.667,8.333,10.0,8.667,291614,1
677d856e8640497613a5ea27,10.0,10.0,9.333,8.333,235802,1
677d856e8640497613a5ea28,9.333,9.667,9.333,9.667,235802,2
677d856e8640497613a5ea29,3.333,3.0,6.0,3.0,524924,1
677d856e8640497613a5ea2a,10.0,9.333,10.0,9.667,524924,2
677d856e8640497613a5ea2b,0.667,3.667,4.333,1.0,524924,3
677d856e8640497613a5ea2c,7.667,8.333,8.667,8.0,203920,1
677d856e8640497613a5ea2d,10.0,9.333,9.667,9.333,80932,1
677d856e8640497613a5ea2e,5.0,4.333,6.667,5.333,80932,2
677d856e8640497613a5ea2f,8.333,9.0,9.0,9.0,393372,1
677d856e8640497613a5ea30,9.667,9.0,8.0,8.667,194956,1
677d856e8640497613a5ea31,9.667,8.667,9.333,9.0,194956,2
677d856e8640497613a5ea32,0.667,10.0,10.0,1.0,194956,3
677d856e8640497613a5ea33,10.0,9.0,9.0,9.0,7730,1
677d856e8640497613a5ea34,7.0,5.0,6.667,5.333,7730,2
677d856e8640497613a5ea35,9.0,6.333,6.667,7.333,172537,1
677d856e8640497613a5ea36,7.667,8.333,7.667,6.667,172537,2
677d856e8640497613a5ea37,2.0,4.667,6.667,2.667,172537,3
677d856e8640497613a5ea38,8.667,5.0,5.333,5.0,422328,1
677d856e8640497613a5ea39,9.0,7.0,9.333,7.667,422328,2
677d856e8640497613a5ea3a,8.333,9.333,9.667,8.667,422328,3
677d856e8640497613a5ea3b,9.333,9.0,9.667,9.0,5434,1
677d856e8640497613a5ea3c,9.667,6.667,8.333,7.0,5434,2
677d856e8640497613a5ea3d,1.0,4.0,4.0,1.333,5434,3
677d856e8640497613a5ea3e,10.0,8.667,8.333,8.667,111376,1
677d856e8640497613a5ea3f,10.0,9.333,9.333,9.667,57350,1
677d856e8640497613a5ea40,9.333,9.0,9.333,9.0,57350,2
677d856e8640497613a5ea41,9.333,8.667,8.667,8.667,496215,1
677d856e8640497613a5ea43,9.667,10.0,10.0,9.667,853,1
677d856e8640497613a5ea44,10.0,10.0,10.0,10.0,853,2
677d856e8640497613a5ea45,10.0,9.333,9.667,9.667,853,3
677d856e8640497613a5ea46,10.0,7.333,6.667,7.667,289514,1
677d856e8640497613a5ea47,9.0,7.333,7.333,7.667,289514,2
677d856e8640497613a5ea48,9.333,4.333,5.0,5.0,289514,3
677d856e8640497613a5ea49,9.667,4.333,8.667,6.0,353915,1
677d856e8640497613a5ea4a,9.667,8.333,10.0,8.333,299200,1
677d856e8640497613a5ea4b,9.667,9.0,9.333,9.0,299200,2
677d856e8640497613a5ea4c,4.0,2.0,6.667,1.667,299200,3
677d856e8640497613a5ea4d,9.667,9.333,9.333,9.333,100558,1
677d856e8640497613a5ea4e,10.0,9.667,10.0,10.0,529376,1
677d856e8640497613a5ea4f,8.667,8.667,9.0,8.333,529376,2
677d856e8640497613a5ea50,10.0,8.333,9.667,9.0,529376,3
677d856e8640497613a5ea51,10.0,10.0,10.0,10.0,560311,1
677d856e8640497613a5ea53,5.667,10.0,10.0,6.0,581668,1
677d856e8640497613a5ea54,10.0,9.667,8.667,9.333,423935,1
677d856e8640497613a5ea55,10.0,7.667,9.667,8.333,423935,2
677d856e8640497613a5ea56,9.667,10.0,9.667,9.667,357903,1
677d856e8640497613a5ea57,9.667,10.0,10.0,9.667,357903,2
677d856e8640497613a5ea59,10.0,9.333,10.0,9.667,480776,2
677d856e8640497613a5ea5a,2.667,2.0,4.667,2.0,129062,1
677d856e8640497613a5ea5b,3.0,4.667,7.667,4.0,129062,2
677d856e8640497613a5ea5c,9.667,7.0,7.667,7.667,129062,3
677d856e8640497613a5ea5d,10.0,9.0,9.333,9.333,417832,1
677d856e8640497613a5ea5e,10.0,8.333,9.667,9.333,291861,1
677d856e8640497613a5ea5f,10.0,10.0,9.667,10.0,538741,1
677d856e8640497613a5ea61,10.0,10.0,10.0,10.0,122896,1
677d856e8640497613a5ea62,10.0,9.0,9.333,9.667,334809,1
677d856e8640497613a5ea64,8.0,5.333,8.667,5.667,313345,1
677d856e8640497613a5ea65,6.0,7.0,8.0,6.667,313345,2
677d856e8640497613a5ea66,9.667,9.667,9.667,9.667,184184,1
