id,turn,score
360871,1,24.375
360871,2,28.5
147745,1,17.344
289514,1,27.281
289514,2,22.734
289514,3,25.609
571790,1,23.656
544519,1,27.391
81971,1,28.672
565269,1,28.391
565269,2,23.188
565269,3,25.938
393243,1,26.422
573453,1,18.75
178572,1,20.891
3131,1,21.812
3131,2,22.734
3131,3,29.641
256884,1,26.922
256884,2,25.859
329847,1,21.203
329847,2,25.922
329847,3,18.453
393226,1,25.203
393226,2,28.219
393226,3,26.969
450129,1,26.047
450129,2,25.891
450129,3,23.109
463066,1,26.609
43425,1,24.984
43425,2,23.094
43425,3,23.359
142985,1,20.344
423391,1,30.391
393372,1,25.984
82679,1,23.594
353915,1,30.172
178928,1,25.219
178928,2,24.734
140043,1,22.922
10546,1,25.766
209923,1,26.453
209923,2,22.469
209923,3,25.25
282572,1,25.406
282572,2,24.547
282572,3,21.859
422328,1,25.656
422328,2,28.172
422328,3,22.328
104304,1,22.359
104304,2,24.031
104304,3,23.828
371643,1,22.375
371643,2,23.016
371643,3,25.469
354126,1,27.969
354126,2,30.594
354126,3,19.359
423935,1,29.078
423935,2,29.828
122927,1,26.172
122927,2,22.281
122927,3,25.609
532493,1,18.594
532493,2,20.0
532493,3,21.859
24629,1,27.125
235802,1,26.234
235802,2,24.016
458804,1,27.453
102171,1,26.734
181699,1,25.297
181699,2,33.438
181699,3,20.875
188612,1,25.188
466845,1,22.109
337180,1,32.25
337180,2,24.75
337180,3,24.531
58268,1,23.438
58268,2,26.5
58268,3,27.172
2585,1,21.859
2585,2,25.859
2585,3,23.828
490317,1,28.406
125106,1,25.922
125106,2,22.391
125106,3,23.484
382564,1,23.266
382564,2,25.656
100558,1,24.719
57350,1,28.703
57350,2,24.188
572804,1,30.703
572804,2,29.453
572804,3,29.188
480489,1,27.422
480489,2,23.016
86582,1,26.203
86582,2,27.094
86582,3,23.141
178403,1,23.672
178403,2,24.141
178403,3,24.172
11091,1,22.078
106772,1,26.531
106772,2,21.75
362944,1,25.453
362944,2,27.25
492077,1,24.094
332877,1,22.75
550349,1,21.047
550349,2,26.938
532810,1,29.203
272405,1,26.359
272405,2,25.109
272405,3,26.422
392837,1,26.859
392837,2,21.156
392837,3,27.578
531495,1,26.234
531495,2,23.281
205344,1,24.531
205344,2,22.156
70952,1,24.391
70952,2,20.766
70952,3,24.391
259097,1,20.984
259097,2,25.656
259097,3,23.375
172537,1,23.297
172537,2,21.016
172537,3,27.031
142585,1,23.906
273560,1,22.453
273560,2,27.656
273560,3,23.781
308192,1,23.859
