id,turn,score
360871,1,23.5
360871,2,27.797
147745,1,17.359
289514,1,26.641
289514,2,22.125
289514,3,24.406
571790,1,23.766
544519,1,26.75
81971,1,27.422
565269,1,27.719
565269,2,22.375
565269,3,24.953
393243,1,25.812
573453,1,19.0
178572,1,21.297
3131,1,21.625
3131,2,21.875
3131,3,28.203
256884,1,26.062
256884,2,25.0
329847,1,21.75
329847,2,24.969
329847,3,18.781
393226,1,24.453
393226,2,26.922
393226,3,26.078
450129,1,24.734
450129,2,25.875
450129,3,22.516
463066,1,25.844
43425,1,24.594
43425,2,23.141
43425,3,23.312
142985,1,20.766
423391,1,29.891
393372,1,25.188
82679,1,23.875
353915,1,29.141
178928,1,24.719
178928,2,24.969
140043,1,22.203
10546,1,24.781
209923,1,25.891
209923,2,21.984
209923,3,24.656
282572,1,26.438
282572,2,24.469
282572,3,21.781
422328,1,24.828
422328,2,27.188
422328,3,21.016
104304,1,22.828
104304,2,23.844
104304,3,23.875
371643,1,21.25
371643,2,22.797
371643,3,24.344
354126,1,27.062
354126,2,29.094
354126,3,19.266
423935,1,29.391
423935,2,28.969
122927,1,25.0
122927,2,22.281
122927,3,24.766
532493,1,18.703
532493,2,20.422
532493,3,22.469
24629,1,27.156
235802,1,25.812
235802,2,22.984
458804,1,26.438
102171,1,26.844
181699,1,24.109
181699,2,32.031
181699,3,19.797
188612,1,25.422
466845,1,22.141
337180,1,32.25
337180,2,25.422
337180,3,24.531
58268,1,23.484
58268,2,25.688
58268,3,26.156
2585,1,21.75
2585,2,25.938
2585,3,23.391
490317,1,27.797
125106,1,25.016
125106,2,21.641
125106,3,23.422
382564,1,23.0
382564,2,25.594
100558,1,24.828
57350,1,27.531
57350,2,24.578
572804,1,30.188
572804,2,29.234
572804,3,27.781
480489,1,27.031
480489,2,23.422
86582,1,26.031
86582,2,26.766
86582,3,22.531
178403,1,22.609
178403,2,23.156
178403,3,23.344
11091,1,22.188
106772,1,26.797
106772,2,21.422
362944,1,25.094
362944,2,27.109
492077,1,24.438
332877,1,21.641
550349,1,21.422
550349,2,26.344
532810,1,28.031
272405,1,25.672
272405,2,24.562
272405,3,25.656
392837,1,25.672
392837,2,21.188
392837,3,26.703
531495,1,26.969
531495,2,21.906
205344,1,23.562
205344,2,21.469
70952,1,24.531
70952,2,20.234
70952,3,24.297
259097,1,20.469
259097,2,25.344
259097,3,23.359
172537,1,23.344
172537,2,21.438
172537,3,25.531
142585,1,23.328
273560,1,22.312
273560,2,26.781
273560,3,23.406
308192,1,24.219
308192,2,24.828
102625,1,19.812
102625,2,25.453
102625,3,25.328
25989,1,27.5
25989,2,24.281
25989,3,18.172
291861,1,27.391
311326,1,28.781
336015,1,23.891
336015,2,19.125
336015,3,23.312
153639,1,29.422
153639,2,25.609
153639,3,23.234
184384,1,26.031
509416,1,20.641
292451,1,22.719
292451,2,26.578
292451,3,19.094
219590,1,24.641
219590,2,28.469
67269,1,25.703
67269,2,26.234
333551,1,23.391
333551,2,22.812
333551,3,22.859
501972,1,28.016
501972,2,27.812
501972,3,20.781
221222,1,30.438
365258,1,23.047
365258,2,24.953
465545,1,26.969
581668,1,22.219
109776,1,23.016
109776,2,26.0
357903,1,25.422
357903,2,24.969
108871,1,25.094
108871,2,22.672
194956,1,25.25
194956,2,22.094
194956,3,20.828
520480,1,26.578
574250,1,25.25
450597,1,23.234
450597,2,25.641
450597,3,21.234
267300,1,26.891
267300,2,24.594
270650,1,25.969
215135,1,25.25
215135,2,27.219
215135,3,27.703
417814,1,23.609
452122,1,24.156
544114,1,25.656
544114,2,21.484
544114,3,28.5
98385,1,24.906
98385,2,25.797
98385,3,23.547
540816,1,27.516
356888,1,26.172
356888,2,23.875
356888,3,27.781
266961,1,23.984
266961,2,20.984
266961,3,27.828
853,1,25.109
853,2,20.359
853,3,22.859
145741,1,23.125
459272,1,22.453
459272,2,22.875
459272,3,22.375
510027,1,22.578
510027,2,27.812
510027,3,27.953
121612,1,20.844
206622,1,25.656
206622,2,29.047
206622,3,26.406
177572,1,27.297
177572,2,26.438
317806,1,22.609
317806,2,21.359
392687,1,26.766
392687,2,18.859
392687,3,23.219
313345,1,27.859
313345,2,26.219
422921,1,30.391
422921,2,26.875
422921,3,20.141
566041,1,25.25
566041,2,24.953
175584,1,28.031
175584,2,19.859
175584,3,26.141
13914,1,26.25
465825,1,22.422
80932,1,21.062
80932,2,22.031
456782,1,26.359
456782,2,23.953
456782,3,23.344
309,1,26.781
309,2,22.781
45999,1,23.234
45999,2,21.797
45999,3,20.625
560311,1,24.0
26735,1,26.875
26735,2,27.078
26735,3,25.125
543942,1,26.391
55458,1,22.672
515743,1,22.266
515743,2,24.875
293027,1,24.125
90145,1,26.141
140513,1,21.469
140513,2,31.406
319096,1,24.109
319096,2,25.703
393224,1,24.031
393224,2,23.328
122896,1,24.344
415314,1,26.125
415314,2,28.297
75065,1,25.641
75065,2,28.094
75065,3,20.688
483587,1,25.234
483587,2,20.312
393375,1,26.672
393375,2,24.172
341070,1,22.938
237569,1,26.641
