id,turn,score
360871,1,21.547
360871,2,27.484
147745,1,18.172
289514,1,24.266
289514,2,21.984
289514,3,24.625
571790,1,21.609
544519,1,26.219
81971,1,27.812
565269,1,25.703
565269,2,21.219
565269,3,24.031
393243,1,26.016
573453,1,20.312
178572,1,21.891
3131,1,22.047
3131,2,21.922
3131,3,25.906
256884,1,24.797
256884,2,22.562
329847,1,20.672
329847,2,22.812
329847,3,20.25
393226,1,23.828
393226,2,23.969
393226,3,25.859
450129,1,22.781
450129,2,24.141
450129,3,21.016
463066,1,24.656
43425,1,23.297
43425,2,22.656
43425,3,21.984
142985,1,21.391
423391,1,26.156
393372,1,25.203
82679,1,24.344
353915,1,27.266
178928,1,23.0
178928,2,24.281
140043,1,22.25
10546,1,23.656
209923,1,24.766
209923,2,22.562
209923,3,24.609
282572,1,24.266
282572,2,22.766
282572,3,21.172
422328,1,23.797
422328,2,26.0
422328,3,19.281
104304,1,22.953
104304,2,23.672
104304,3,23.25
371643,1,21.109
371643,2,21.453
371643,3,23.016
354126,1,25.391
354126,2,26.797
354126,3,20.219
423935,1,27.906
423935,2,26.531
122927,1,24.328
122927,2,22.625
122927,3,24.766
532493,1,19.047
532493,2,20.547
532493,3,22.969
24629,1,26.688
235802,1,21.984
235802,2,23.922
458804,1,23.156
102171,1,25.703
181699,1,22.656
181699,2,28.719
181699,3,20.484
188612,1,25.438
466845,1,23.219
337180,1,28.859
337180,2,23.969
337180,3,23.141
58268,1,22.922
58268,2,23.812
58268,3,24.078
2585,1,22.359
2585,2,25.406
2585,3,21.812
490317,1,25.359
125106,1,23.75
125106,2,20.562
125106,3,20.406
382564,1,21.344
382564,2,23.5
100558,1,24.594
57350,1,25.359
57350,2,24.438
572804,1,29.328
572804,2,27.188
572804,3,25.266
480489,1,25.125
480489,2,24.359
86582,1,25.516
86582,2,27.094
86582,3,21.078
178403,1,23.047
178403,2,22.375
178403,3,21.781
11091,1,21.641
106772,1,25.625
106772,2,22.734
362944,1,23.578
362944,2,24.859
492077,1,25.562
332877,1,22.219
550349,1,19.812
550349,2,24.109
532810,1,28.531
272405,1,25.641
272405,2,25.469
272405,3,24.188
392837,1,23.75
392837,2,20.812
392837,3,24.203
531495,1,25.281
531495,2,22.516
205344,1,22.844
205344,2,20.547
70952,1,24.219
70952,2,21.266
70952,3,24.484
259097,1,20.75
259097,2,22.641
259097,3,22.828
172537,1,22.047
172537,2,22.062
172537,3,24.281
142585,1,20.547
273560,1,22.375
273560,2,27.016
273560,3,23.312
308192,1,23.516
308192,2,23.25
102625,1,21.312
102625,2,23.938
102625,3,23.859
25989,1,25.406
25989,2,24.031
25989,3,18.594
291861,1,25.062
311326,1,27.391
336015,1,21.891
336015,2,20.438
336015,3,22.734
153639,1,26.75
153639,2,24.75
153639,3,24.328
184384,1,25.312
509416,1,22.094
292451,1,21.312
292451,2,24.375
292451,3,20.141
219590,1,23.75
219590,2,25.734
67269,1,24.984
67269,2,24.0
333551,1,23.406
333551,2,23.656
333551,3,22.75
501972,1,25.969
501972,2,27.875
501972,3,21.688
221222,1,27.828
365258,1,22.422
365258,2,22.516
465545,1,27.406
581668,1,22.969
109776,1,23.047
109776,2,23.312
357903,1,20.812
357903,2,21.922
108871,1,22.859
108871,2,22.859
194956,1,23.594
194956,2,20.0
194956,3,19.875
520480,1,25.062
574250,1,23.156
450597,1,22.938
450597,2,23.688
450597,3,22.344
267300,1,25.969
267300,2,24.375
270650,1,26.188
215135,1,24.312
215135,2,24.562
215135,3,25.312
417814,1,23.109
452122,1,23.484
544114,1,23.328
544114,2,21.703
544114,3,25.797
98385,1,24.938
98385,2,23.328
98385,3,22.406
540816,1,25.656
356888,1,24.766
356888,2,22.625
356888,3,27.828
266961,1,22.453
266961,2,19.75
266961,3,26.859
853,1,22.328
853,2,20.984
853,3,22.141
145741,1,22.703
459272,1,21.203
459272,2,23.266
459272,3,22.844
510027,1,20.75
510027,2,25.438
510027,3,23.109
121612,1,20.938
206622,1,22.516
206622,2,26.547
206622,3,26.062
177572,1,26.406
177572,2,25.703
317806,1,22.703
317806,2,22.578
392687,1,22.828
392687,2,20.5
392687,3,22.609
313345,1,28.484
313345,2,27.125
422921,1,27.234
422921,2,26.812
422921,3,17.844
566041,1,26.609
566041,2,26.109
175584,1,28.266
175584,2,20.109
175584,3,24.328
13914,1,24.469
465825,1,22.812
80932,1,19.75
80932,2,21.766
456782,1,24.953
456782,2,22.016
456782,3,21.547
309,1,26.25
309,2,22.312
45999,1,22.828
45999,2,22.125
45999,3,20.172
560311,1,20.938
26735,1,25.594
26735,2,26.25
26735,3,24.062
543942,1,24.703
55458,1,21.219
515743,1,22.391
515743,2,22.75
293027,1,23.766
90145,1,22.906
140513,1,22.984
140513,2,28.094
319096,1,24.969
319096,2,24.281
393224,1,23.906
393224,2,24.359
122896,1,25.859
415314,1,24.438
415314,2,27.141
75065,1,23.297
75065,2,24.953
75065,3,23.234
483587,1,24.016
483587,2,21.688
393375,1,25.141
393375,2,21.391
341070,1,22.172
237569,1,23.5
237569,2,25.016
237569,3,24.312
253975,1,25.391
557105,1,24.219
557105,2,28.188
557105,3,19.781
77596,1,23.656
7730,1,24.609
7730,2,24.266
369969,1,23.094
369969,2,23.875
399759,1,25.984
399759,2,24.062
57357,1,24.859
57357,2,25.812
57357,3,24.281
553827,1,24.703
193680,1,25.312
358868,1,24.641
535902,1,26.297
302107,1,24.422
302107,2,20.656
158548,1,24.766
158548,2,25.719
458821,1,25.141
17320,1,23.938
17320,2,23.797
17320,3,22.859
491430,1,24.578
163114,1,22.75
163114,2,28.266
493074,1,24.984
493074,2,24.875
493074,3,21.719
417830,1,23.219
417830,2,20.484
417830,3,23.578
299200,1,23.297
299200,2,21.875
299200,3,19.984
134290,1,22.922
134290,2,23.672
234956,1,25.359
234956,2,24.078
234956,3,18.469
357220,1,23.016
102724,1,26.062
150812,1,27.609
308507,1,22.594
308507,2,24.234
308507,3,23.109
91839,1,22.891
142510,1,24.859
142510,2,23.016
187866,1,23.016
187866,2,25.094
96497,1,23.594
453302,1,21.281
410182,1,25.047
92009,1,24.188
92009,2,21.688
92009,3,25.344
29324,1,24.391
538741,1,25.234
538741,2,25.141
25139,1,27.844
465301,1,24.125
563122,1,24.359
563122,2,22.031
563122,3,23.312
426040,1,23.062
468505,1,24.141
100081,1,22.328
100081,2,25.875
100081,3,25.328
429011,1,24.203
429011,2,22.844
429011,3,22.484
204863,1,22.156
24585,1,22.438
254387,1,22.234
291614,1,24.969
291614,2,22.5
536073,1,25.922
536073,2,24.203
536073,3,24.281
129587,1,26.234
129587,2,20.234
129587,3,23.797
34,1,26.406
34,2,26.938
39480,1,22.453
134597,1,25.719
134597,2,25.031
6484,1,21.359
6484,2,23.359
6484,3,25.562
393271,1,23.219
417832,1,23.484
262161,1,27.25
262161,2,20.734
262161,3,22.031
529376,1,21.953
529376,2,23.375
529376,3,22.703
240967,1,26.984
240967,2,23.672
335479,1,21.609
249441,1,23.219
249441,2,23.688
158726,1,24.562
158726,2,23.578
221427,1,28.406
5434,1,24.719
5434,2,24.469
5434,3,23.203
270186,1,21.688
407550,1,25.781
315319,1,25.141
315319,2,25.312
49,1,22.375
49,2,21.078
49,3,20.938
106508,1,25.188
106508,2,24.016
148240,1,22.047
148240,2,22.25
50507,1,23.281
50507,2,24.141
409181,1,20.547
54492,1,21.594
54492,2,20.875
54492,3,21.703
359569,1,25.766
112286,1,23.625
112286,2,20.016
112286,3,18.875
294973,1,26.578
294973,2,23.125
294973,3,22.859
90192,1,23.562
90192,2,25.922
111376,1,25.531
475645,1,24.641
475645,2,24.234
229301,1,27.203
229301,2,25.312
229301,3,20.906
352426,1,22.344
352426,2,25.719
352426,3,20.656
416315,1,26.234
416315,2,22.672
189893,1,26.219
189893,2,23.922
7996,1,22.453
7996,2,22.562
7996,3,25.203
460254,1,22.344
147546,1,21.828
565012,1,23.75
565012,2,22.688
512576,1,24.75
512576,2,24.109
512576,3,23.625
204837,1,22.766
214848,1,26.406
214848,2,23.797
570297,1,24.703
357865,1,24.219
357865,2,27.5
357865,3,25.391
142400,1,21.781
142400,2,21.875
265748,1,26.172
265748,2,26.922
265748,3,23.859
398575,1,23.156
398575,2,24.625
398575,3,20.969
15653,1,26.172
475195,1,26.531
475195,2,28.031
519172,1,22.531
519172,2,20.812
519172,3,23.469
376859,1,26.328
395040,1,20.672
130518,1,22.906
130518,2,24.453
403265,1,26.469
403265,2,22.391
403265,3,24.922
580685,1,22.766
580685,2,22.047
580685,3,22.484
207833,1,28.188
334809,1,22.969
381199,1,24.688
381199,2,26.375
177824,1,25.953
177824,2,22.422
177824,3,26.406
129062,1,21.578
129062,2,20.625
129062,3,27.031
203920,1,25.719
184184,1,24.047
184184,2,26.094
428304,1,23.422
428304,2,26.562
31749,1,25.891
524924,1,22.828
524924,2,23.562
524924,3,21.891
190360,1,25.406
190360,2,24.453
190360,3,23.406
381112,1,23.672
381112,2,24.797
381112,3,22.734
182759,1,21.5
182759,2,23.469
182759,3,22.234
44437,1,25.016
44437,2,25.594
151,1,22.547
480776,1,22.453
480776,2,22.844
50151,1,22.703
50151,2,25.828
50151,3,22.453
211860,1,22.312
211860,2,21.312
496215,1,24.344
496215,2,19.375
155790,1,25.469
155790,2,21.594
155790,3,24.875
236599,1,19.656
513580,1,21.438
577847,1,21.078
577847,2,23.469
577847,3,21.984
523394,1,24.844
139276,1,22.453
