id,turn,score
360871,1,22.609
360871,2,25.938
147745,1,17.781
289514,1,24.125
289514,2,22.359
289514,3,23.469
571790,1,23.281
544519,1,25.656
81971,1,27.422
565269,1,27.344
565269,2,21.688
565269,3,22.203
393243,1,25.219
573453,1,18.375
178572,1,23.109
3131,1,20.375
3131,2,21.453
3131,3,27.719
256884,1,25.188
256884,2,24.422
329847,1,23.5
329847,2,26.391
329847,3,20.594
393226,1,23.062
393226,2,26.953
393226,3,24.5
450129,1,26.75
450129,2,26.203
450129,3,23.641
463066,1,24.719
43425,1,23.266
43425,2,23.203
43425,3,25.75
142985,1,21.391
423391,1,28.141
393372,1,25.953
82679,1,24.234
353915,1,25.641
178928,1,23.859
178928,2,23.766
140043,1,21.125
10546,1,24.672
209923,1,26.672
209923,2,23.453
209923,3,24.891
282572,1,27.109
282572,2,24.469
282572,3,20.938
422328,1,24.141
422328,2,27.562
422328,3,22.359
104304,1,20.891
104304,2,21.438
104304,3,23.688
371643,1,21.344
371643,2,22.266
371643,3,22.219
354126,1,26.094
354126,2,23.031
354126,3,20.281
423935,1,24.094
423935,2,23.078
122927,1,25.266
122927,2,19.688
122927,3,25.938
532493,1,18.016
532493,2,19.828
532493,3,23.641
24629,1,28.25
235802,1,25.328
235802,2,21.125
458804,1,26.781
102171,1,25.672
181699,1,23.141
181699,2,29.25
181699,3,20.531
188612,1,23.219
466845,1,22.172
337180,1,29.312
337180,2,25.719
337180,3,25.312
58268,1,24.375
58268,2,25.641
58268,3,25.875
2585,1,20.781
2585,2,22.906
2585,3,22.781
490317,1,25.797
125106,1,22.938
125106,2,21.016
125106,3,21.797
382564,1,22.359
382564,2,25.031
100558,1,23.594
57350,1,26.016
57350,2,24.188
572804,1,29.953
572804,2,28.547
572804,3,27.844
480489,1,23.953
480489,2,24.469
86582,1,26.25
86582,2,26.641
86582,3,20.406
178403,1,22.297
178403,2,22.141
178403,3,25.188
11091,1,21.797
106772,1,23.844
106772,2,21.594
362944,1,23.484
362944,2,27.578
492077,1,24.156
332877,1,19.0
550349,1,21.953
550349,2,24.562
532810,1,27.656
272405,1,27.812
272405,2,24.391
272405,3,21.438
392837,1,25.797
392837,2,21.75
392837,3,24.797
531495,1,26.25
531495,2,22.25
205344,1,21.328
205344,2,21.469
70952,1,23.531
70952,2,19.938
70952,3,22.953
259097,1,21.188
259097,2,23.906
259097,3,23.203
172537,1,21.391
172537,2,20.031
172537,3,22.125
142585,1,22.609
273560,1,21.641
273560,2,28.094
273560,3,23.047
308192,1,27.281
308192,2,24.484
102625,1,20.891
102625,2,23.594
102625,3,22.719
25989,1,27.938
25989,2,22.5
25989,3,17.672
291861,1,27.234
311326,1,26.812
336015,1,23.375
336015,2,19.672
336015,3,22.5
153639,1,27.266
153639,2,26.75
153639,3,21.547
184384,1,24.766
509416,1,23.188
292451,1,24.766
292451,2,26.812
292451,3,18.438
219590,1,23.547
219590,2,27.297
67269,1,25.859
67269,2,22.219
333551,1,22.891
333551,2,20.875
333551,3,23.047
501972,1,28.031
501972,2,26.016
501972,3,20.25
221222,1,28.219
365258,1,20.781
365258,2,23.984
465545,1,25.203
581668,1,23.469
109776,1,20.625
109776,2,25.031
357903,1,23.891
357903,2,25.609
108871,1,22.922
108871,2,21.219
194956,1,24.391
194956,2,19.797
194956,3,20.75
520480,1,24.609
574250,1,24.734
450597,1,23.172
450597,2,23.922
450597,3,21.016
267300,1,24.5
267300,2,23.406
270650,1,23.172
215135,1,24.094
215135,2,24.547
215135,3,28.188
417814,1,25.469
452122,1,25.828
544114,1,27.234
544114,2,21.031
544114,3,26.203
98385,1,22.656
98385,2,25.078
98385,3,23.562
540816,1,28.078
356888,1,26.188
356888,2,26.438
356888,3,25.875
266961,1,23.375
266961,2,20.5
266961,3,27.594
853,1,26.031
853,2,19.875
853,3,24.672
145741,1,24.75
459272,1,22.828
459272,2,21.828
459272,3,21.734
510027,1,22.297
510027,2,25.141
510027,3,24.156
121612,1,20.531
206622,1,25.312
206622,2,27.906
206622,3,24.5
177572,1,26.422
177572,2,26.828
317806,1,21.266
317806,2,19.922
392687,1,26.141
392687,2,21.625
392687,3,21.625
313345,1,27.453
313345,2,26.188
422921,1,28.656
422921,2,28.609
422921,3,19.609
566041,1,29.562
566041,2,26.891
175584,1,26.859
175584,2,19.641
175584,3,26.016
13914,1,25.594
465825,1,21.344
80932,1,22.156
80932,2,23.203
456782,1,27.328
456782,2,24.109
456782,3,22.5
309,1,27.969
309,2,22.562
45999,1,21.344
45999,2,22.469
45999,3,19.938
560311,1,23.766
26735,1,27.109
26735,2,24.047
26735,3,25.859
543942,1,24.375
55458,1,21.828
515743,1,21.625
515743,2,25.094
293027,1,24.422
90145,1,26.344
140513,1,20.234
140513,2,28.672
319096,1,23.031
319096,2,26.094
393224,1,23.688
393224,2,23.438
122896,1,22.062
415314,1,24.266
415314,2,25.844
75065,1,24.969
75065,2,26.766
75065,3,20.844
483587,1,24.406
483587,2,20.281
393375,1,26.156
393375,2,25.859
341070,1,23.672
237569,1,25.297
237569,2,28.828
237569,3,26.703
253975,1,23.625
557105,1,23.672
557105,2,25.609
557105,3,19.875
77596,1,22.984
7730,1,22.969
7730,2,27.719
369969,1,26.156
369969,2,23.766
399759,1,25.25
399759,2,23.578
57357,1,28.734
57357,2,25.875
57357,3,23.281
553827,1,27.406
193680,1,26.531
358868,1,23.75
535902,1,22.422
302107,1,26.484
302107,2,21.312
158548,1,24.844
158548,2,26.469
458821,1,26.828
17320,1,25.984
17320,2,18.438
17320,3,23.203
491430,1,24.516
163114,1,26.406
163114,2,24.797
493074,1,21.984
493074,2,23.984
493074,3,21.688
417830,1,23.234
417830,2,19.688
417830,3,21.281
299200,1,20.375
299200,2,20.078
299200,3,20.781
134290,1,23.766
134290,2,23.516
234956,1,26.219
234956,2,23.719
234956,3,19.781
357220,1,24.219
102724,1,22.891
150812,1,27.359
308507,1,23.172
308507,2,23.094
308507,3,24.312
91839,1,23.422
142510,1,25.281
142510,2,22.156
187866,1,23.344
187866,2,25.219
96497,1,25.234
453302,1,23.141
410182,1,25.25
92009,1,27.016
92009,2,21.672
92009,3,22.984
29324,1,26.312
538741,1,23.297
538741,2,25.016
25139,1,26.688
465301,1,26.422
563122,1,22.922
563122,2,21.0
563122,3,26.734
426040,1,23.234
468505,1,24.859
100081,1,22.594
100081,2,24.484
100081,3,23.453
429011,1,25.734
429011,2,21.719
429011,3,21.359
204863,1,21.328
24585,1,20.109
254387,1,23.891
291614,1,20.969
291614,2,20.594
536073,1,23.859
536073,2,23.922
536073,3,25.359
129587,1,24.188
129587,2,20.266
129587,3,24.016
34,1,29.516
34,2,28.703
39480,1,20.453
134597,1,28.891
134597,2,27.156
6484,1,20.719
6484,2,23.375
6484,3,23.016
393271,1,21.984
417832,1,21.875
262161,1,30.047
262161,2,21.344
262161,3,24.578
529376,1,21.375
529376,2,22.969
529376,3,23.766
240967,1,27.578
240967,2,25.047
335479,1,22.891
249441,1,25.5
249441,2,23.781
158726,1,25.25
158726,2,25.641
221427,1,25.469
5434,1,23.875
5434,2,23.328
5434,3,22.25
270186,1,21.734
407550,1,25.484
315319,1,24.359
315319,2,24.172
49,1,22.422
49,2,23.891
49,3,19.25
106508,1,27.703
106508,2,25.062
148240,1,20.266
148240,2,20.531
50507,1,23.844
50507,2,24.375
409181,1,19.766
54492,1,22.594
54492,2,19.781
54492,3,21.188
359569,1,28.875
112286,1,24.266
112286,2,19.734
112286,3,17.828
294973,1,23.0
294973,2,23.578
294973,3,23.359
90192,1,24.5
90192,2,26.562
111376,1,26.688
475645,1,25.438
475645,2,24.844
229301,1,23.453
229301,2,23.531
229301,3,19.266
352426,1,21.594
352426,2,27.922
352426,3,18.812
416315,1,25.0
416315,2,25.078
189893,1,26.328
189893,2,20.172
7996,1,20.719
7996,2,21.922
7996,3,22.312
460254,1,22.531
147546,1,22.766
565012,1,25.062
565012,2,23.625
512576,1,27.016
512576,2,23.172
512576,3,26.078
204837,1,20.734
214848,1,25.938
214848,2,23.969
570297,1,27.203
357865,1,24.812
357865,2,25.047
357865,3,24.125
142400,1,22.766
142400,2,23.25
265748,1,25.906
265748,2,26.594
265748,3,19.266
398575,1,22.094
398575,2,23.422
398575,3,20.062
15653,1,26.438
475195,1,24.406
475195,2,27.203
519172,1,23.047
519172,2,19.125
519172,3,21.953
376859,1,24.406
395040,1,20.375
130518,1,27.078
130518,2,26.125
403265,1,25.5
403265,2,21.109
403265,3,23.875
580685,1,23.828
580685,2,18.984
580685,3,24.281
207833,1,29.609
334809,1,23.484
381199,1,23.828
381199,2,26.984
177824,1,25.75
177824,2,23.609
177824,3,25.547
129062,1,21.172
129062,2,20.266
129062,3,26.578
203920,1,28.625
184184,1,21.812
184184,2,27.094
428304,1,25.047
428304,2,26.078
31749,1,27.516
524924,1,23.094
524924,2,25.203
524924,3,21.344
190360,1,24.0
190360,2,23.328
190360,3,24.875
381112,1,26.219
381112,2,24.188
381112,3,22.453
182759,1,21.578
182759,2,22.266
182759,3,22.422
44437,1,23.234
44437,2,25.75
151,1,20.969
480776,1,22.828
480776,2,22.969
50151,1,24.516
50151,2,23.562
50151,3,25.125
211860,1,21.938
211860,2,20.453
496215,1,21.766
496215,2,19.047
155790,1,26.312
155790,2,20.578
155790,3,25.141
236599,1,22.094
513580,1,23.0
577847,1,23.25
577847,2,22.812
577847,3,21.266
523394,1,26.125
139276,1,22.906
